"id","title","grade","value"
135,"Tengo un sueño",10,"Sueño que un día no muy lejano, los humanos aceptemos la total continuidad orgánica que nos une con el resto de los animales y seamos capaces de actuar en consecuencia"
135,"Tengo un sueño",10," Que respetemos sus derechos; que no los torturemos, esclavicemos y maltratemos atrozmente con ciego desdén a su dolor"
135,"Tengo un sueño",10," Que comprendamos de una maldita vez que son seres sintientes y no objetos"
135,"Tengo un sueño",10,"Dentro de unas décadas, nuestros hijos mirarán hacia atrás y se horrorizarán al ver cómo tratamos hoy a los animales, del mismo modo que hoy nos espantamos al recordar los desmanes de la esclavitud y de la segregación racial"
135,"Tengo un sueño",10," Por eso he pedido prestadas las famosas palabras de Martin Luther King en aquella multitudinaria marcha de 1963"
135,"Tengo un sueño",10," Seguro que ya hay lectores torciendo el gesto por mi osadía al unir la cuestión racial y el maltrato animal"
135,"Tengo un sueño",10," Y sin embargo son problemas muy parecidos"
135,"Tengo un sueño",10," En ambos casos son pura barbarie, ignorancia y rancios prejuicios"
135,"Tengo un sueño",10," Los racistas que creen que un negro es inferior a ellos son como los energúmenos que piensan que un animal es una cosa con la que se puede cometer cualquier salvajada"
135,"Tengo un sueño",10," O sea, seres profundamente incultos e incapaces de empatía"
135,"Tengo un sueño",10," Por cierto, se ha demostrado que los maltratadores de animales lo son también de personas; según un importante estudio hecho en Escocia con psiquiatras, médicos de familia, asistentes sociales y policías, en el 86 % de las mujeres maltratadas que tenían animales de compañía, la mascota también había sufrido daños; y de un 30 % a un 88 % de los tipos condenados por exhibicionismo, acoso, violación, abuso familiar y asesinato tenían antecedentes de maltrato animal"
135,"Tengo un sueño",10," Y estamos hablando de antecedentes policiales, o sea, que debieron de ser especialmente brutales"
135,"Tengo un sueño",10," A saber cuántos más quedaron en el anonimato"
135,"Tengo un sueño",10," Deberíamos castigar con mucha más contundencia el abuso animal aunque solo fuera para defendernos nosotros mismos de los violentos"
135,"Tengo un sueño",10,"Pero es que no se trata solo de autodefensa; es sobre todo una cuestión de ética, pura justicia elemental y desarrollo cívico"
135,"Tengo un sueño",10," Solo así podremos crecer y progresar"
135,"Tengo un sueño",10," El progreso social pasó por la Declaración de los Derechos del Hombre del siglo XVIII; después, por la inclusión de la mujer en esos derechos; y ahora tendrá que pasar por el reconocimiento de los derechos de los demás seres vivos"
135,"Tengo un sueño",10,"El mundo se está moviendo en esa dirección, impulsado sobre todo por los avances científicos, que echan por tierra nuestro etnocentrismo"
135,"Tengo un sueño",10," En 2012, trece eminentes neurocientíficos de las más importantes instituciones del mundo firmaron en la Universidad de Cambridge, junto a Stephen Hawking, el llamado Manifiesto de Cambridge, en el que declaran que las investigaciones demuestran que los animales tienen conciencia"
135,"Tengo un sueño",10," Y, hace un mes, una juez argentina ha reconocido el estatuto de persona no humana a una orangutana"
135,"Tengo un sueño",10," En América hay varios procesos más parecidos en marcha, y también peticiones de habeas corpus"
135,"Tengo un sueño",10," En España, como somos especialmente bárbaros y unos analfabetos, nos hemos puesto a hacer chistecitos con lo de persona no humana"
135,"Tengo un sueño",10," Sin embargo, no nos parece nada raro que una empresa sea persona jurídica"
135,"Tengo un sueño",10," La decisión de la juez argentina tan solo indica que considera que la orangutana tiene derechos (que es lo mismo que sucede con las empresas)"
135,"Tengo un sueño",10," Somos tan semejantes a los simios que incluso podemos intercambiar transfusiones con los chimpancés y los bonobos"
135,"Tengo un sueño",10,"Los otros animales poseen menos inteligencia que los humanos, obvio (del mismo modo que una medusa no es igual que un perro), pero, en sus diversos grados, tienen conciencia, sufren y son inteligentes, algunos inteligentísimos, como los grandes simios, con quienes nos separa tan solo un 1 % del genoma"
135,"Tengo un sueño",10," Y la gorila Koko, que aprendió el lenguaje de signos y entiende y usa varios miles de palabras, puntúa entre 70 y 95 en nuestros exámenes de inteligencia, lo que quiere decir que, si fuera una persona, se la consideraría de aprendizaje lento, pero no retrasada"
135,"Tengo un sueño",10," Pero no nos limitemos a los primates; los elefantes tienen ritos de muerte, los cuervos fabrican herramientas, una collie ha demostrado que los perros entienden mil palabras… Y sin embargo, ¿qué estamos haciendo con todas esas criaturas tan complejas con capacidad para amar y sentir y sufrir? Brutalidades"
135,"Tengo un sueño",10," Tengo un sueño, el sueño de la hermandad animal"
135,"Tengo un sueño",10,"Aun así, las cosas están cambiando"
135,"Tengo un sueño",10," No viviré para verlo, pero sé que está cerca"
135,"Tengo un sueño",10," ("
135,"Tengo un sueño",10,")"
135,"Tengo un sueño",10," Por eso he pedido prestadas las famosas palabras de Martin Luther King en aquella multitudinaria marcha de 1963"
135,"Tengo un sueño",10,"Dentro de unas décadas, nuestros hijos mirarán hacia atrás y se horrorizarán al ver cómo tratamos hoy a los animales, del mismo modo que hoy nos espantamos al recordar los desmanes de la esclavitud y de la segregación racial"
135,"Tengo un sueño",10," Seguro que ya hay lectores torciendo el gesto por mi osadía al unir la cuestión racial y el maltrato animal"
135,"Tengo un sueño",10," Y sin embargo son problemas muy parecidos"
135,"Tengo un sueño",10," En ambos casos son pura barbarie, ignorancia y rancios prejuicios"
135,"Tengo un sueño",10," Los racistas que creen que un negro es inferior a ellos son como los energúmenos que piensan que un animal es una cosa con la que se puede cometer cualquier salvajada"
135,"Tengo un sueño",10," O sea, seres profundamente incultos e incapaces de empatía"
135,"Tengo un sueño",10," Deberíamos castigar con mucha más contundencia el abuso animal aunque solo fuera para defendernos nosotros mismos de los violentos"
135,"Tengo un sueño",10," Por cierto, se ha demostrado que los maltratadores de animales lo son también de personas; según un importante estudio hecho en Escocia con psiquiatras, médicos de familia, asistentes sociales y policías, en el 86 % de las mujeres maltratadas que tenían animales de compañía, la mascota también había sufrido daños; y de un 30 % a un 88 % de los tipos condenados por exhibicionismo, acoso, violación, abuso familiar y asesinato tenían antecedentes de maltrato animal"
135,"Tengo un sueño",10," Y estamos hablando de antecedentes policiales, o sea, que debieron de ser especialmente brutales"
135,"Tengo un sueño",10," A saber cuántos más quedaron en el anonimato"
135,"Tengo un sueño",10,"Pero es que no se trata solo de autodefensa; es sobre todo una cuestión de ética, pura justicia elemental y desarrollo cívico"
135,"Tengo un sueño",10," El progreso social pasó por la Declaración de los Derechos del Hombre del siglo XVIII; después, por la inclusión de la mujer en esos derechos; y ahora tendrá que pasar por el reconocimiento de los derechos de los demás seres vivos"
135,"Tengo un sueño",10," Solo así podremos crecer y progresar"
135,"Tengo un sueño",10,"El mundo se está moviendo en esa dirección, impulsado sobre todo por los avances científicos, que echan por tierra nuestro etnocentrismo"
135,"Tengo un sueño",10," En 2012, trece eminentes neurocientíficos de las más importantes instituciones del mundo firmaron en la Universidad de Cambridge, junto a Stephen Hawking, el llamado Manifiesto de Cambridge, en el que declaran que las investigaciones demuestran que los animales tienen conciencia"
135,"Tengo un sueño",10," Y, hace un mes, una juez argentina ha reconocido el estatuto de persona no humana a una orangutana"
135,"Tengo un sueño",10," En América hay varios procesos más parecidos en marcha, y también peticiones de habeas corpus"
135,"Tengo un sueño",10," Sin embargo, no nos parece nada raro que una empresa sea persona jurídica"
135,"Tengo un sueño",10," En España, como somos especialmente bárbaros y unos analfabetos, nos hemos puesto a hacer chistecitos con lo de persona no humana"
135,"Tengo un sueño",10," La decisión de la juez argentina tan solo indica que considera que la orangutana tiene derechos (que es lo mismo que sucede con las empresas)"
135,"Tengo un sueño",10,"Los otros animales poseen menos inteligencia que los humanos, obvio (del mismo modo que una medusa no es igual que un perro), pero, en sus diversos grados, tienen conciencia, sufren y son inteligentes, algunos inteligentísimos, como los grandes simios, con quienes nos separa tan solo un 1 % del genoma"
135,"Tengo un sueño",10," Somos tan semejantes a los simios que incluso podemos intercambiar transfusiones con los chimpancés y los bonobos"
135,"Tengo un sueño",10," Y la gorila Koko, que aprendió el lenguaje de signos y entiende y usa varios miles de palabras, puntúa entre 70 y 95 en nuestros exámenes de inteligencia, lo que quiere decir que, si fuera una persona, se la consideraría de aprendizaje lento, pero no retrasada"
135,"Tengo un sueño",10," Pero no nos limitemos a los primates; los elefantes tienen ritos de muerte, los cuervos fabrican herramientas, una collie ha demostrado que los perros entienden mil palabras… Y sin embargo, ¿qué estamos haciendo con todas esas criaturas tan complejas con capacidad para amar y sentir y sufrir? Brutalidades"
135,"Tengo un sueño",10," Tengo un sueño, el sueño de la hermandad animal"
135,"Tengo un sueño",10,"Aun así, las cosas están cambiando"
135,"Tengo un sueño",10," No viviré para verlo, pero sé que está cerca"
135,"Tengo un sueño",10," ("
135,"Tengo un sueño",10,")"
164,"Entel, Claro, Movistar y Bitel: la guerra de precios2",11,"El mercado nacional de telefonía está cada vez más competitivo"
164,"Entel, Claro, Movistar y Bitel: la guerra de precios2",11," La entrada de Entel y Bitel hace algunos meses ha hecho que se desate una verdadera guerra de precios entre los operadores"
164,"Entel, Claro, Movistar y Bitel: la guerra de precios2",11,"Hace algunos días Entel dio el aviso de que iba a reducir a S/ 0,20 el costo de llamada por minuto"
164,"Entel, Claro, Movistar y Bitel: la guerra de precios2",11," Claro no se quedó atrás y respondió con la misma promoción"
